state,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,NEGATIVE
MA,0.07782456140350877,0.08028070175438594,0.1295964912280702,0.24135087719298245,0.4707894736842105,0.2877017543859649
ME,0.05458333333333334,0.05491666666666667,0.09325000000000001,0.14891666666666667,0.6482500000000001,0.20275000000000004
VT,0.08911764705882354,0.08064705882352942,0.13794117647058823,0.22858823529411765,0.4638235294117647,0.30770588235294116
CT,0.03334782608695653,0.02867391304347826,0.0602826086956522,0.15184782608695652,0.7258695652173913,0.12230434782608698
NJ,0.03915094339622641,0.0660188679245283,0.0992830188679245,0.24513207547169813,0.5506037735849056,0.2044528301886792
NY,0.071198347107438,0.06663636363636363,0.11726446280991736,0.19346280991735543,0.5514132231404961,0.25509917355371897
PA,0.09184615384615381,0.10065865384615381,0.14277884615384612,0.217389423076923,0.44734615384615384,0.3352836538461538
DC,0.11678571428571423,0.11292857142857146,0.16030952380952387,0.22309523809523812,0.38692857142857146,0.39002380952380955
VA,0.08411578947368419,0.07982105263157893,0.1147578947368421,0.2024947368421053,0.5187368421052633,0.2786947368421052
MD,0.08289999999999999,0.08944999999999999,0.13015,0.2072166666666667,0.4902499999999999,0.3025
WV,0.04129411764705883,0.04161764705882354,0.08535294117647058,0.1929411764705882,0.6387647058823529,0.16826470588235293
NC,0.07794047619047616,0.09323809523809524,0.1341547619047619,0.22195238095238093,0.4725595238095237,0.3053333333333333
SC,0.1421363636363637,0.13059090909090906,0.1541060606060606,0.20824242424242428,0.36490909090909096,0.4268333333333334
GA,0.13414563106796118,0.14473786407766992,0.14392233009708738,0.24508737864077665,0.33208737864077675,0.4228058252427185
FL,0.04838461538461539,0.04692307692307692,0.09623076923076924,0.21153846153846154,0.5969230769230769,0.19153846153846155
AL,0.02934782608695651,0.029521739130434762,0.057231884057970986,0.1390144927536232,0.7448695652173911,0.11610144927536226
TN,0.09378787878787877,0.0854040404040404,0.11284848484848484,0.21506060606060606,0.49292929292929283,0.292040404040404
MS,0.09095348837209301,0.10388372093023256,0.15295348837209308,0.21702325581395354,0.43518604651162784,0.3477906976744186
KY,0.06116831683168314,0.07214851485148517,0.1120693069306931,0.1984257425742574,0.5561782178217822,0.24538613861386144
OH,0.09456521739130436,0.059565217391304354,0.10065217391304347,0.17882608695652172,0.566086956521739,0.25478260869565217
IN,0.13225974025974024,0.09770129870129872,0.16071428571428573,0.21767532467532472,0.39176623376623365,0.39067532467532473
MI,0.0579310344827586,0.06591625615763547,0.09799507389162565,0.20704926108374377,0.57107881773399,0.22184236453201972
IA,0.04411999999999999,0.0532,0.08886000000000002,0.16486000000000003,0.649,0.18618
WI,0.057869565217391304,0.05317391304347827,0.09241304347826088,0.19967391304347823,0.5966521739130435,0.20345652173913045
MN,0.1033947368421052,0.11685526315789474,0.1357763157894737,0.2364078947368421,0.407592105263158,0.35602631578947364
